1,Fat/Oil Name,energy(Kcal),protein(g),saturated_fat(g),trans_fat(g),monounsat_fat(g),polyunsat_fat(g),cholesterol(mg),sodium(mg)
66,"Mayonnaise, reduced fat, with olive oil",361.0,0.37,5.37,0.0,29.5,4.01,33.0,800.0
67,"Mayonnaise, reduced-calorie or diet, cholesterol-free",333.0,0.9,4.62,0.0,7.71,19.5,0.0,733.0
120,"Oil, PAM cooking spray, original",792.0,0.26,5.02,0.0,49.8,22.1,0.0,59.0
68,"Oil, almond",884.0,0.0,8.2,0.0,69.9,17.4,0.0,0.0
69,"Oil, apricot kernel",884.0,0.0,6.3,0.0,60.0,29.3,0.0,0.0
70,"Oil, avocado",3700.0,0.0,11.6,0.0,70.6,13.5,0.0,0.0
71,"Oil, babassu",884.0,0.0,81.2,0.0,11.4,1.6,0.0,0.0
72,"Oil, canola",3700.0,0.0,7.36,0.395,63.3,28.1,0.0,0.0
74,"Oil, cocoa butter",884.0,0.0,59.7,0.0,32.9,3.0,0.0,0.0
75,"Oil, coconut",3730.0,0.0,82.5,0.028,6.33,1.7,0.0,0.0
77,"Oil, cooking and salad, ENOVA, 80% diglycerides",3700.0,0.0,4.63,1.76,37.0,53.4,0.0,0.0
79,"Oil, corn and canola",3700.0,0.0,8.03,0.334,58.5,29.1,0.0,0.0
80,"Oil, corn, industrial and retail, all purpose salad or cooking",900.0,0.0,12.9,0.0,27.6,54.7,0.0,0.0
81,"Oil, corn, peanut, and olive",3700.0,0.0,14.4,0.0,48.0,33.0,0.0,0.0
82,"Oil, cottonseed, salad or cooking",884.0,0.0,25.9,0.0,17.8,51.9,0.0,0.0
83,"Oil, cupu assu",884.0,0.0,53.2,0.0,38.7,3.8,0.0,0.0
84,"Oil, flaxseed, cold pressed",3700.0,0.11,8.98,0.094,18.4,67.8,0.0,0.0
85,"Oil, flaxseed, contains added sliced flaxseed",3680.0,0.37,9.05,0.184,20.6,64.9,0.0,6.0
86,"Oil, grapeseed",884.0,0.0,9.6,0.0,16.1,69.9,0.0,0.0
87,"Oil, hazelnut",884.0,0.0,7.4,0.0,78.0,10.2,0.0,0.0
88,"Oil, industrial, canola (partially hydrogenated) oil for deep fat frying",3700.0,0.0,10.1,27.0,71.1,14.0,0.0,0.0
89,"Oil, industrial, canola for salads, woks and light frying",884.0,0.0,7.76,1.77,61.2,26.4,0.0,0.0
90,"Oil, industrial, canola with antifoaming agent, principal uses salads, woks and light frying",884.0,0.0,7.62,1.62,62.1,25.6,0.0,0.0
91,"Oil, industrial, canola, high oleic",3770.0,0.0,6.79,0.957,72.7,15.8,0.0,0.0
92,"Oil, industrial, coconut (hydrogenated), used for whipped toppings and coffee whiteners",3680.0,0.0,93.5,0.267,0.267,0.0,0.0,7.0
93,"Oil, industrial, coconut, confection fat, typical basis for ice cream coatings",3700.0,0.0,86.5,0.0,5.68,1.45,0.0,5.0
94,"Oil, industrial, coconut, principal uses candy coatings, oil sprays, roasting nuts",3700.0,0.0,86.0,0.0,5.94,1.66,0.0,0.0
95,"Oil, industrial, cottonseed, fully hydrogenated",3700.0,0.0,93.6,0.67,1.53,0.587,0.0,0.0
96,"Oil, industrial, mid-oleic, sunflower",3700.0,0.0,9.01,0.219,57.3,29.0,0.0,0.0
97,"Oil, industrial, palm and palm kernel, filling fat (non-hydrogenated)",880.0,0.0,71.4,0.0,19.7,3.25,0.0,6.0
98,"Oil, industrial, palm kernel (hydrogenated) , used for whipped toppings, non-dairy",884.0,0.0,89.0,3.68,4.93,0.0,0.0,6.0
99,"Oil, industrial, palm kernel (hydrogenated), confection fat, intermediate grade product",884.0,0.0,92.6,0.0,1.27,0.037,0.0,6.0
100,"Oil, industrial, palm kernel (hydrogenated), confection fat, uses similar to 95 degree hard butter",3700.0,0.0,93.7,0.257,0.257,0.0,0.0,6.0
101,"Oil, industrial, palm kernel (hydrogenated), filling fat",3700.0,0.0,88.2,4.66,5.7,0.0,0.0,6.0
102,"Oil, industrial, palm kernel, confection fat, uses similar to high quality cocoa butter",884.0,0.0,87.6,0.0,5.41,0.834,0.0,6.0
103,"Oil, industrial, soy ( partially hydrogenated), all purpose",884.0,0.0,24.8,34.2,61.2,9.3,0.0,0.0
104,"Oil, industrial, soy (partially hydrogenated ) and soy (winterized), pourable clear fry",3700.0,0.0,15.3,10.8,34.6,45.2,0.0,0.0
105,"Oil, industrial, soy (partially hydrogenated ), palm, principal uses icings and fillings",884.0,0.0,28.4,31.2,59.7,7.1,0.0,0.0
106,"Oil, industrial, soy (partially hydrogenated)  and cottonseed, principal use as a tortilla shortening",884.0,0.0,25.9,30.8,59.1,10.3,0.0,0.0
107,"Oil, industrial, soy (partially hydrogenated), multiuse for non-dairy butter flavor",3700.0,0.0,18.1,12.9,40.3,36.8,0.0,0.0
108,"Oil, industrial, soy (partially hydrogenated), principal uses popcorn and flavoring vegetables",884.0,0.0,17.7,13.6,41.9,35.6,0.0,0.0
109,"Oil, industrial, soy, fully hydrogenated",884.0,0.0,94.0,1.15,1.34,0.383,0.0,0.0
110,"Oil, industrial, soy, low linolenic",900.0,0.0,15.1,0.67,21.4,58.9,0.0,0.0
111,"Oil, industrial, soy, refined, for woks and light frying",884.0,0.0,15.3,0.124,21.7,58.2,0.0,0.0
112,"Oil, industrial, soy, ultra low linolenic",3700.0,0.0,14.9,0.306,28.9,52.1,0.0,0.0
113,"Oil, mustard",3700.0,0.0,11.6,0.0,59.2,21.2,0.0,0.0
114,"Oil, nutmeg butter",884.0,0.0,90.0,0.0,4.8,0.0,0.0,0.0
115,"Oil, oat",884.0,0.0,19.6,0.0,35.1,40.9,0.0,0.0
118,"Oil, olive, salad or cooking",884.0,0.0,13.8,0.0,73.0,10.5,0.0,2.0
119,"Oil, palm",884.0,0.0,49.3,0.0,37.0,9.3,0.0,0.0
122,"Oil, peanut, salad or cooking",3700.0,0.0,16.9,0.0,46.2,32.0,0.0,0.0
123,"Oil, poppyseed",884.0,0.0,13.5,0.0,19.7,62.4,0.0,0.0
124,"Oil, rice bran",884.0,0.0,19.7,0.0,39.3,35.0,0.0,0.0
126,"Oil, safflower, salad or cooking, high oleic (primary safflower oil of commerce)",884.0,0.0,7.54,0.096,75.2,12.8,0.0,0.0
127,"Oil, safflower, salad or cooking, linoleic, (over 70%)",884.0,0.0,6.2,0.0,14.4,74.6,0.0,0.0
128,"Oil, sesame, salad or cooking",884.0,0.0,14.2,0.0,39.7,41.7,0.0,0.0
129,"Oil, sheanut",884.0,0.0,46.6,0.0,44.0,5.2,0.0,0.0
131,"Oil, soybean lecithin",763.0,0.0,15.0,0.0,11.0,45.3,0.0,0.0
132,"Oil, soybean, salad or cooking",3700.0,0.0,15.6,0.533,22.8,57.7,0.0,0.0
133,"Oil, soybean, salad or cooking, (partially hydrogenated)",884.0,0.0,14.9,0.0,43.0,37.6,0.0,0.0
134,"Oil, soybean, salad or cooking, (partially hydrogenated) and cottonseed",884.0,0.0,18.0,0.0,29.5,48.1,0.0,0.0
136,"Oil, sunflower, high oleic (70% and over)",884.0,0.0,9.86,0.0,83.7,3.8,0.0,0.0
137,"Oil, sunflower, linoleic (less than 60%)",884.0,0.0,10.1,0.0,45.4,40.1,0.0,0.0
138,"Oil, sunflower, linoleic, (approx. 65%)",3700.0,0.0,10.3,0.0,19.5,65.7,0.0,0.0
139,"Oil, sunflower, linoleic, (partially hydrogenated)",884.0,0.0,13.0,0.0,46.2,36.4,0.0,0.0
